species,dd long,dd lat
Paruroctonus silvestrii,-122.6172033,38.66188333
Paruroctonus silvestrii,-121.3327383,35.86137705
Paruroctonus silvestrii,-116.9747083,33.82223
Paruroctonus silvestrii,-116.9396348,33.21199004
Paruroctonus silvestrii,-121.3434667,37.17103833
Paruroctonus silvestrii,-121.5808867,36.36852
Paruroctonus silvestrii,-121.584379,37.69964697
Paruroctonus silvestrii,-118.906669,34.070224
Paruroctonus silvestrii,-118.1214917,35.90851667
Paruroctonus silvestrii,-118.2976181,34.52573956
Paruroctonus silvestrii,-116.75312,34.23181667
Paruroctonus silvestrii,-116.5985738,32.70601796
Paruroctonus silvestrii,-117.19918,34.09708333
Paruroctonus silvestrii,-120.6112883,34.79092
Paruroctonus silvestrii,-116.8008561,33.300073
Paruroctonus silvestrii,-122.7116288,38.01892325
Paruroctonus silvestrii,-119.9989389,34.821375
Paruroctonus silvestrii,-116.8948485,32.91587848
Paruroctonus silvestrii,-121.5563603,39.51279266
Paruroctonus silvestrii,-117.317245,33.44246333
Paruroctonus silvestrii,-121.6836971,36.32065223
Paruroctonus silvestrii,-116.9012836,32.97371549
Paruroctonus silvestrii,-118.3112455,34.21573096
Paruroctonus silvestrii,-117.5633748,33.91849717
Paruroctonus silvestrii,-118.8722794,34.1121414
Paruroctonus silvestrii,-121.4721617,36.03286117
Paruroctonus silvestrii,-116.6867639,32.97345278
Paruroctonus silvestrii,-118.1564417,34.383105
Paruroctonus silvestrii,-117.0361194,33.19611944
Paruroctonus silvestrii,-120.1270859,34.5011808
Paruroctonus silvestrii,-116.8082028,32.95371389
Paruroctonus silvestrii,-118.97615,34.77855333
Paruroctonus silvestrii,-122.5003583,40.49692167
Paruroctonus silvestrii,-121.5276779,37.62937415
Paruroctonus silvestrii,-119.6332783,37.548905
Paruroctonus silvestrii,-121.4742703,37.6617495
Paruroctonus silvestrii,-118.7528917,34.0434945
Paruroctonus silvestrii,-117.2775688,34.20379557
Paruroctonus silvestrii,-120.4097833,35.06454167
Paruroctonus silvestrii,-118.4892654,34.36602783
Paruroctonus silvestrii,-117.5646283,33.54872833
Paruroctonus silvestrii,-120.5606483,35.02390539
Paruroctonus silvestrii,-122.4527056,38.6998917
Paruroctonus silvestrii,-117.5404361,33.6736528
Paruroctonus silvestrii,-117.9563389,34.3489944
Paruroctonus silvestrii,-121.2347722,37.4749583
Paruroctonus silvestrii,-121.3426361,37.4242444
Paruroctonus silvestrii,-117.2208884,32.82429334
Paruroctonus silvestrii,-116.915695,33.76815
Paruroctonus silvestrii,-120.6838826,35.75147647
Paruroctonus silvestrii,-116.8290874,32.69377516
Paruroctonus silvestrii,-117.1392583,34.1064
Paruroctonus silvestrii,-122.1594167,37.27850333
Paruroctonus silvestrii,-119.0777747,34.35992636
